# Generator: analysis/compute_dependency.py --json
# Git commit: ba333cfc8d54e24984076b44d043a05be139e979
# SHA-256: e73025994bab6b5b59fe84235fba2bd23f40e6a4dfc562f8d6c19ddaaa88a86a
# Generated: 2026-07-04
# Tool version: 1.0.0
# Columns: block (0-1), round (0-63), op_type (S1|ch|temp1|S0|maj|temp2|e_new|a_new), is_invariant (1=invariant, 0=nonce-dependent)
#
block,round,op_type,is_invariant
1,38,temp1,0
1,38,S0,0
1,38,maj,0
1,38,temp2,0
1,38,e_new,0
1,38,a_new,0
1,39,S1,0
1,39,ch,0
1,39,temp1,0
1,39,S0,0
1,39,maj,0
1,39,temp2,0
1,39,e_new,0
1,39,a_new,0
1,40,S1,0
1,40,ch,0
1,40,temp1,0
1,40,S0,0
1,40,maj,0
1,40,temp2,0
1,40,e_new,0
1,40,a_new,0
1,41,S1,0
1,41,ch,0
1,41,temp1,0
1,41,S0,0
1,41,maj,0
1,41,temp2,0
1,41,e_new,0
1,41,a_new,0
1,42,S1,0
1,42,ch,0
1,42,temp1,0
1,42,S0,0
1,42,maj,0
1,42,temp2,0
1,42,e_new,0
1,42,a_new,0
1,43,S1,0
1,43,ch,0
1,43,temp1,0
1,43,S0,0
1,43,maj,0
1,43,temp2,0
1,43,e_new,0
1,43,a_new,0
1,44,S1,0
1,44,ch,0
1,44,temp1,0
1,44,S0,0
1,44,maj,0
1,44,temp2,0
1,44,e_new,0
1,44,a_new,0
1,45,S1,0
1,45,ch,0
1,45,temp1,0
1,45,S0,0
1,45,maj,0
1,45,temp2,0
1,45,e_new,0
1,45,a_new,0
1,46,S1,0
1,46,ch,0
1,46,temp1,0
1,46,S0,0
1,46,maj,0
1,46,temp2,0
1,46,e_new,0
1,46,a_new,0
1,47,S1,0
1,47,ch,0
1,47,temp1,0
1,47,S0,0
1,47,maj,0
1,47,temp2,0
1,47,e_new,0
1,47,a_new,0
1,48,S1,0
1,48,ch,0
1,48,temp1,0
1,48,S0,0
1,48,maj,0
1,48,temp2,0
1,48,e_new,0
1,48,a_new,0
1,49,S1,0
1,49,ch,0
1,49,temp1,0
1,49,S0,0
1,49,maj,0
1,49,temp2,0
1,49,e_new,0
1,49,a_new,0
1,50,S1,0
1,50,ch,0
1,50,temp1,0
1,50,S0,0
1,50,maj,0
1,50,temp2,0
1,50,e_new,0
1,50,a_new,0
1,51,S1,0
1,51,ch,0
1,51,temp1,0
1,51,S0,0
1,51,maj,0
1,51,temp2,0
1,51,e_new,0
1,51,a_new,0
1,52,S1,0
1,52,ch,0
1,52,temp1,0
1,52,S0,0
1,52,maj,0
1,52,temp2,0
1,52,e_new,0
1,52,a_new,0
1,53,S1,0
1,53,ch,0
1,53,temp1,0
1,53,S0,0
1,53,maj,0
1,53,temp2,0
1,53,e_new,0
1,53,a_new,0
1,54,S1,0
1,54,ch,0
1,54,temp1,0
1,54,S0,0
